recovered_global,Country_Region,Province_State
54503,Afghanistan,
119061,Albania,
86703,Algeria,
13070,Andorra,
25145,Angola,
1178,Antigua and Barbuda,
2854364,Argentina,
205675,Armenia,
121,Australia,Australian Capital Territory
0,Australia,New South Wales
161,Australia,Northern Territory
1555,Australia,Queensland
717,Australia,South Australia
221,Australia,Tasmania
19698,Australia,Victoria
993,Australia,Western Australia
607712,Austria,
308317,Azerbaijan,
9854,Bahamas,
177212,Bahrain,
715321,Bangladesh,
3870,Barbados,
360916,Belarus,
0,Belgium,
12307,Belize,
7652,Benin,
1101,Bhutan,
262970,Bolivia,
166887,Bosnia and Herzegovina,
46290,Botswana,
13592463,Brazil,
218,Brunei,
353619,Bulgaria,
13180,Burkina Faso,
132050,Burma,
773,Burundi,
23692,Cabo Verde,
8170,Cambodia,
35261,Cameroon,
1209322,Canada,
5112,Central African Republic,
4661,Chad,
1193927,Chile,
988,China,Anhui
1046,China,Beijing
585,China,Chongqing
573,China,Fujian
191,China,Gansu
2316,China,Guangdong
267,China,Guangxi
145,China,Guizhou
165,China,Hainan
1310,China,Hebei
1597,China,Heilongjiang
1289,China,Henan
11503,China,Hong Kong
63640,China,Hubei
1038,China,Hunan
378,China,Inner Mongolia
713,China,Jiangsu
936,China,Jiangxi
570,China,Jilin
406,China,Liaoning
49,China,Macau
75,China,Ningxia
18,China,Qinghai
587,China,Shaanxi
870,China,Shandong
1955,China,Shanghai
244,China,Shanxi
964,China,Sichuan
378,China,Tianjin
1,China,Tibet
11,China,Unknown
977,China,Xinjiang
306,China,Yunnan
1322,China,Zhejiang
2848153,Colombia,
3688,Comoros,
8208,Congo (Brazzaville),
26434,Congo (Kinshasa),
216191,Costa Rica,
45910,Cote d'Ivoire,
330329,Croatia,
111325,Cuba,
39061,Cyprus,
1583590,Czechia,
662,Denmark,Faroe Islands
31,Denmark,Greenland
246903,Denmark,
699,Diamond Princess,
11182,Djibouti,
175,Dominica,
232325,Dominican Republic,
342878,Ecuador,
178241,Egypt,
65921,El Salvador,
7279,Equatorial Guinea,
3627,Eritrea,
116648,Estonia,
17784,Eswatini,
212567,Ethiopia,
101,Fiji,
46000,Finland,
9995,France,French Guiana
18617,France,French Polynesia
2242,France,Guadeloupe
98,France,Martinique
2964,France,Mayotte
58,France,New Caledonia
21603,France,Reunion
462,France,Saint Barthelemy
25,France,Saint Pierre and Miquelon
1399,France,St Martin
44,France,Wallis and Futuna
316468,France,
20051,Gabon,
5648,Gambia,
303679,Georgia,
3231090,Germany,
90697,Ghana,
93764,Greece,
158,Grenada,
215803,Guatemala,
20341,Guinea,
3400,Guinea-Bissau,
12443,Guyana,
12304,Haiti,
15,Holy See,
81973,Honduras,
583802,Hungary,
6409,Iceland,
19382642,India,
1580207,Indonesia,
2144197,Iran,
1018167,Iraq,
23364,Ireland,
831686,Israel,
3636089,Italy,
22517,Jamaica,
563972,Japan,
707302,Jordan,
357030,Kazakhstan,
113057,Kenya,
119373,"Korea, South",
98007,Kosovo,
272123,Kuwait,
92120,Kyrgyzstan,
297,Laos,
113430,Latvia,
489319,Lebanon,
6427,Lesotho,
1962,Liberia,
167043,Libya,
2887,Liechtenstein,
234223,Lithuania,
65513,Luxembourg,
7,MS Zaandam,
36633,Madagascar,
32170,Malawi,
408236,Malaysia,
26795,Maldives,
9073,Mali,
29843,Malta,
4,Marshall Islands,
17918,Mauritania,
1125,Mauritius,
1891052,Mexico,
1,Micronesia,
243877,Moldova,
2423,Monaco,
35733,Mongolia,
95220,Montenegro,
501404,Morocco,
67884,Mozambique,
47518,Namibia,
312019,Nepal,
10596,Netherlands,Aruba
1548,Netherlands,"Bonaire, Sint Eustatius and Saba"
11992,Netherlands,Curacao
2208,Netherlands,Sint Maarten
0,Netherlands,
2591,New Zealand,
4225,Nicaragua,
4929,Niger,
156358,Nigeria,
138779,North Macedonia,
17998,Norway,
186391,Oman,
771692,Pakistan,
357714,Panama,
10833,Papua New Guinea,
250502,Paraguay,
1803054,Peru,
1038175,Philippines,
2580245,Poland,
801306,Portugal,
203546,Qatar,
1017047,Romania,
4458408,Russia,
24333,Rwanda,
44,Saint Kitts and Nevis,
4473,Saint Lucia,
1741,Saint Vincent and the Grenadines,
2,Samoa,
4968,San Marino,
2269,Sao Tome and Principe,
412102,Saudi Arabia,
39428,Senegal,
0,Serbia,
5658,Seychelles,
3093,Sierra Leone,
60975,Singapore,
255300,Slovakia,
233788,Slovenia,
20,Solomon Islands,
6325,Somalia,
1519258,South Africa,
10462,South Sudan,
150376,Spain,
106641,Sri Lanka,
27949,Sudan,
9907,Suriname,
0,Sweden,
317600,Switzerland,
19316,Syria,
1093,Taiwan*,
13218,Tajikistan,
183,Tanzania,
26873,Thailand,
1769,Timor-Leste,
11694,Togo,
9500,Trinidad and Tobago,
281554,Tunisia,
4766124,Turkey,
0,US,
41971,Uganda,
1828877,Ukraine,
519405,United Arab Emirates,
89,United Kingdom,Anguilla
2182,United Kingdom,Bermuda
193,United Kingdom,British Virgin Islands
537,United Kingdom,Cayman Islands
3956,United Kingdom,Channel Islands
63,United Kingdom,Falkland Islands (Malvinas)
4189,United Kingdom,Gibraltar
1550,United Kingdom,Isle of Man
19,United Kingdom,Montserrat
4,United Kingdom,"Saint Helena, Ascension and Tristan da Cunha"
2365,United Kingdom,Turks and Caicos Islands
0,United Kingdom,
197085,Uruguay,
90664,Uzbekistan,
3,Vanuatu,
193089,Venezuela,
2618,Vietnam,
287932,West Bank and Gaza,
3003,Yemen,
90539,Zambia,
36221,Zimbabwe,
